,Tender_name,Location,ID,Planholders,Due_date,Broadcast_date,Status
0,"Polymer, Coagulant/Floculant Products","City of Sunnyvale, Sunnyvale, CA",  RFQL-F22-095-0-2022/LV,  15,  06/16/2022,  03/23/2022,Active
1,Annual Slurry Seal 2022,"City of Sunnyvale, Sunnyvale, CA",  IFB-PW22-06-0-2022/LV,  6,  04/27/2022,  04/01/2022,Active
2,Network Appliance Equipment,"City of Sunnyvale, Sunnyvale, CA",  IFB-F22-089-0-2022/MAP,  9,  04/13/2022,  03/28/2022,Active
3,"Concrete Sidewalk, Curb, Gutter and Driveway Approaches 2022","City of Sunnyvale, Sunnyvale, CA",  IFB-PW22-07-0-2022/LV,  12,  04/13/2022,  03/25/2022,Active
4,Professional Services for Safety and Loss Control,"City of Sunnyvale, Sunnyvale, CA",  RFP-F22-064-0-2022/LV,  10,  04/05/2022,  03/02/2022,Active
5,Workforce Innovation & Opportunity Act Adult & Dislocated Worker Services,"City of Sunnyvale, Sunnyvale, CA",  RFP-NOVA-22-01-0-2022/lj,  3,  04/04/2022,  03/01/2022,Active
6,Workforce Innovation & Opportunity Act Youth Services,"City of Sunnyvale, Sunnyvale, CA",  RFP-NOVA-22-02-0-2022/lj,  5,  04/04/2022,  03/01/2022,Active
7,Department of Public Safety Emergency Generator Replacement,"City of Sunnyvale, Sunnyvale, CA",  IFB-PW21-41-0-2022/DB,  43,  03/16/2022,  02/11/2022,Under Evaluation
8,"Trenchless Sewer Line Pipe Bursting, Repair and Replacement Services","City of Sunnyvale, Sunnyvale, CA",  RFQ-I22-001-0-2022/IC,  14,  03/09/2022,  02/14/2022,Under Evaluation
9,On-Call Contracts for Engineering Support Services for the Water Pollution Control Plant,"City of Sunnyvale, Sunnyvale, CA",  RFQL-F22-060-0-2022/DB,  44,  03/04/2022,  01/28/2022,Under Evaluation
10,Professional Services Assistance for a Nonresidential Housing Mitigation Fee Nexus Study,"City of Sunnyvale, Sunnyvale, CA",  RFP-F22-038-0-2022/DB,  15,  02/25/2022,  01/12/2022,Under Evaluation
11,Lakewood Park Renovation and Enhancement Project,"City of Sunnyvale, Sunnyvale, CA",  RFP-F22-080-0-2022/DB,  50,  02/23/2022,  01/14/2022,Under Evaluation
